Start of new Program cycle.   

 Exit Found 	Iteration 	Time needed[ms] 	[s]
1	346	5784	5
1	347	3713	3
1	348	17893	17
1	349	22869	22
1	350	13942	13
1	351	23457	23
1	352	19729	19
1	353	19083	19
1	354	12730	12
1	355	1376	1
1	356	17882	17
1	357	5908	5
1	358	26821	26
1	359	1768	1
1	360	13244	13
1	361	756	0
1	362	16996	16
1	363	26900	26
1	364	18468	18
1	365	1798	1
1	366	23130	23
1	367	3928	3
1	368	28374	28
1	369	5833	5
1	370	24398	24
1	371	4441	4
1	372	1862	1
1	373	4279	4
1	374	3221	3
1	375	4066	4
1	376	2130	2
1	377	3563	3
1	378	24927	24
1	379	23993	23
1	380	17783	17
1	381	5306	5
1	382	22394	22
1	383	23649	23
1	384	23472	23
1	385	23369	23
1	386	13039	13
1	387	2486	2
1	388	26108	26
1	389	14492	14
1	390	3680	3
1	391	1207	1
1	392	15385	15
1	393	5231	5
1	394	3590	3
1	395	26956	26
1	396	1810	1
1	397	24516	24
1	398	25490	25
1	399	3710	3
1	400	24623	24
1	401	23491	23
1	402	2105	2
1	403	2801	2
1	404	26545	26
1	405	2400	2
1	406	521	0
1	407	598	0
1	408	27299	27
1	409	2629	2
1	410	24971	24
1	411	26430	26
1	412	808	0
1	413	13290	13
1	414	4207	4
1	415	23261	23
1	416	928	0
1	417	792	0
1	418	2895	2
1	419	26900	26
1	420	17387	17
1	421	2723	2
1	422	5108	5
1	423	18122	18
1	424	26384	26
1	425	5314	5
1	426	22900	22
1	427	17997	17
1	428	1390	1
1	429	3387	3
1	430	22162	22
1	431	4134	4
1	432	1690	1
1	433	24434	24
1	434	19439	19
1	435	22815	22
1	436	27064	27
1	437	19649	19
1	438	1277	1
1	439	3424	3
1	440	17699	17
1	441	481	0
1	442	486	0
1	443	20028	20
1	444	796	0
1	445	778	0
1	446	23350	23
1	447	23562	23
1	448	1510	1
1	449	3371	3
1	450	12807	12
1	451	2575	2
1	452	17350	17
1	453	1295	1
1	454	2973	2
1	455	25308	25
1	456	26092	26
1	457	13654	13
1	458	1414	1
1	459	17330	17
1	460	1871	1
1	461	23038	23
1	462	17900	17
1	463	13469	13
1	464	1769	1
1	465	15043	15
1	466	27944	27
1	467	3954	3
1	468	23815	23
1	469	25096	25
1	470	22816	22
1	471	1671	1
1	472	27900	27
1	473	1754	1
1	474	24163	24
1	475	5865	5
1	476	5942	5
1	477	23489	23
1	478	12995	12
1	479	16692	16
1	480	18727	18
1	481	17572	17
1	482	1717	1
1	483	15593	15
1	484	3106	3
1	485	14413	14
1	486	23615	23
1	487	15255	15
1	488	21823	21
1	489	5398	5
1	490	493	0
1	491	12081	12
1	492	13428	13
1	493	26863	26
1	494	4900	4
1	495	18376	18
1	496	555	0
1	497	18705	18
1	498	11936	11
1	499	28538	28
1	500	19489	19
1	501	3259	3
1	502	4276	4
1	503	12281	12
1	504	14996	14
1	505	2709	2
1	506	3117	3
1	507	23385	23
1	508	1280	1
1	509	25212	25
1	510	18336	18
1	511	1840	1
1	512	4441	4
1	513	12760	12
1	514	24105	24
1	515	3948	3
1	516	3411	3
1	517	23678	23
1	518	1556	1
1	519	1295	1
1	520	1021	1
1	521	24406	24
1	522	26458	26
1	523	3748	3
1	524	2769	2
1	525	2006	2
1	526	1295	1
1	527	2284	2
1	528	2907	2
1	529	2070	2
1	530	933	0
1	531	24428	24
1	532	5461	5
1	533	1804	1
1	534	1566	1
1	535	13880	13
1	536	23078	23
1	537	1202	1
1	538	1671	1
1	539	1904	1
1	540	1993	1
1	541	1801	1
1	542	14128	14
1	543	22212	22
1	544	23162	23
1	545	24106	24
1	546	24586	24
1	547	26003	26
1	548	3353	3
1	549	659	0
1	550	602	0
1	551	1413	1
1	552	28147	28
1	553	12742	12
1	554	19206	19
1	555	3875	3
1	556	3922	3
1	557	26233	26
1	558	1060	1
1	559	17710	17
1	560	2663	2
1	561	2002	2
1	562	24943	24
1	563	27910	27
1	564	1782	1
1	565	24154	24
1	566	18508	18
1	567	17932	17
1	568	23290	23
1	569	2200	2
1	570	26301	26
1	571	18171	18
1	572	4047	4
1	573	1901	1
1	574	18140	18
1	575	2009	2
1	576	1599	1
1	577	19072	19
1	578	4936	4
1	579	26990	26
1	580	2499	2
1	581	18831	18
1	582	22671	22
1	583	24424	24
1	584	3372	3
1	585	4440	4
1	586	3774	3
1	587	5362	5
1	588	12858	12
1	589	557	0
1	590	2937	2
1	591	23795	23
1	592	15110	15
1	593	13362	13
1	594	24624	24
1	595	21962	21
